dependency,restimulus,num_obs_train,num_subj_train,num_subj_rerep_train,num_obs_test,num_subj_test,num_subj_rerep_test,num_coeffs_glm,wmae_glm_train,wwmape_glm_train,wmae_glm_test,wwmape_glm_test,num_coeffs_lme,subj_intercept_mean,subj_intercept_var,rand_eff_var,rand_eff_ICC,x_joint_scaled_stand_est,x_joint_scaled_stand_t_val,y_joint_scale,y_joint_center,x_joint_scaled_scale,x_joint_scaled_center,wmae_lme_train,wwmape_lme_train,wmae_lme_test,wwmape_lme_test,x_joint_exp_stand_est,x_joint_exp:x_joint_weight_exp_stand_est,x_joint_weight_exp:x_joint_height_exp_stand_est,x_joint_exp_stand_t_val,x_joint_exp:x_joint_weight_exp_stand_t_val,x_joint_weight_exp:x_joint_height_exp_stand_t_val,x_joint_exp_scale,x_joint_exp:x_joint_weight_exp_scale,x_joint_weight_exp:x_joint_height_exp_scale,x_joint_exp_center,x_joint_exp:x_joint_weight_exp_center,x_joint_weight_exp:x_joint_height_exp_center,x_joint_poly_stand_est,x_joint_poly_stand_t_val,x_joint_poly_scale,x_joint_poly_center,x_joint_exp:x_joint_height_exp_stand_est,x_joint_exp:x_joint_height_exp_stand_t_val,x_joint_exp:x_joint_height_exp_scale,x_joint_exp:x_joint_height_exp_center,x_joint_poly:x_joint_weight_exp_stand_est,x_joint_poly:x_joint_weight_exp_stand_t_val,x_joint_poly:x_joint_weight_exp_scale,x_joint_poly:x_joint_weight_exp_center,x_joint_poly:x_joint_height_exp_stand_est,x_joint_poly:x_joint_height_exp_stand_t_val,x_joint_poly:x_joint_height_exp_scale,x_joint_poly:x_joint_height_exp_center,x_joint_scaled:x_joint_height_exp_stand_est,x_joint_scaled:x_joint_height_exp_stand_t_val,x_joint_scaled:x_joint_height_exp_scale,x_joint_scaled:x_joint_height_exp_center,x_joint_height_stand_est,x_joint_height_stand_t_val,x_joint_height_scale,x_joint_height_center,x_joint_poly:x_joint_weight_poly_stand_est,x_joint_poly:x_joint_weight_poly_stand_t_val,x_joint_poly:x_joint_weight_poly_scale,x_joint_poly:x_joint_weight_poly_center,x_joint_scaled:x_joint_height_poly_stand_est,x_joint_scaled:x_joint_height_poly_stand_t_val,x_joint_scaled:x_joint_height_poly_scale,x_joint_scaled:x_joint_height_poly_center
,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMC1_f - MCP1,1,566394,40,144,142230,35,36,4,9.307617706811639,0.831711770203428,9.559852066712477,0.8533554676040623,2,0.04311219033300403,0.7707711646227798,0.7533969751098191,0.6582412276199625,-0.5954178156226161,-506.7544926845377,12.513821375026497,-6.223717366435656,13.016204918302178,24.95495166014454,6.034105925989854,0.5391967181491784,6.7243339822708545,0.60024434789606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP1 - IP1,3,334189,24,65,81094,16,16,11,8.395896328179997,0.6288894452009305,8.41131906166153,0.6538607584248095,2,-0.13850506309810884,0.727733267929212,0.7166076165940983,0.6195662845333259,1.0317696623981056,635.7045456138419,12.279213742876314,11.205782852549042,11.271864279799905,0.15083611417009812,6.473288454896561,0.48487768618124,7.198218230885252,0.5595593743681145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP1 - IP1,11,514668,36,110,128400,26,27,5,15.359583340685328,0.5457090840440592,14.329919035641408,0.5031957692396319,2,-0.21465326204875015,0.5795296290358026,0.6095534224350898,0.6036573872795304,-0.7914628421568206,-678.226063495582,20.962205368796106,28.973692853953427,11.439460883060226,-7.210751539106877,10.766353458609666,0.38251668382368503,11.648296925836041,0.4090304849140657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMC1_f - IP1,5,498330,43,152,115832,37,38,12,17.72710493847658,0.6009897016617145,18.24784848766723,0.6115255588601639,5,0.07748644163780385,0.8451701481706977,0.8514149214699914,0.6111896320048418,0.8329029136810806,555.9356974266179,21.982579646473194,28.837657465042483,13.413998186628941,25.264885902303625,12.980016120706956,0.44005245317954905,101.7813318878352,3.41091641057335,-0.5854269259663586,-4.3251606838420305,-2.1698539193991255,-40.338585876900474,-43.281258613363725,-3.9641003756835125,33405017327986744e4,65663175959712815e46,NA,58113575940888216e3,4723859072228701e45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMC1_f - IP1,10,594735,49,157,130390,38,39,5,15.272067438903902,0.5108951770894933,15.164396731235556,0.5155000572641458,2,0.0650918604868639,0.7567079675442194,0.7455850676532375,0.5960547227402628,0.913282747486417,692.537437029229,20.22096641687489,28.3217572736737,13.430192217882347,23.04574681181265,11.530142601073017,0.3857168827736065,11.94695770771627,0.40612610521950354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,1,671616,41,144,160543,34,36,4,14.693033203806996,0.3367816638114303,16.127590911055016,0.36334447025365485,2,0.1625363157098172,0.3982769629610804,0.4150140956966512,0.4865552310984726,0.7876560480014715,792.4860069268941,20.499912884582184,42.32132105843388,15.530516778203857,18.266343920918253,11.088444757266139,0.25416024197547143,12.349692226614502,0.2782307912336169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,2,764624,58,220,179946,51,54,17,12.122321556582913,0.17873008057539025,11.6303007081305,0.16903637083377712,2,0.08888539399317727,0.21594199648368598,0.22014170973580868,0.4763011542764889,NA,NA,28.07742136829895,63.29372978790274,NA,NA,11.25782367397391,0.16598402566381637,11.013206823945245,0.1600674444694336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7501200100222386,1260.8109993642393,1730.0882375033502,1948.2004472827825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,3,621483,48,175,155871,39,43,8,12.362682613322114,0.17794361070579193,12.528125801787645,0.18013078723043585,2,0.05867691677971273,0.30129753502441875,0.29847069821511507,0.5606388630724942,0.8553665799845278,1224.6227090634966,22.62772577425641,68.27949359629187,18.100191095302762,44.30119782424702,8.48574222609706,0.12214044948489952,8.791832506229122,0.12640994635599934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,4,279364,40,105,55685,26,26,7,13.114454445973962,0.4985365324442052,14.00304595215647,0.5421210024092518,2,0.005077851877647761,0.2794983457070022,0.2725925480696032,0.4770001154704714,0.9171562818966982,774.9839419578561,26.369220688034034,27.162330588216285,16.854036718175966,17.11637835983958,11.276475855249963,0.42866710119176554,12.48073054078247,0.4831853137300304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
