dependency,restimulus,num_obs_train,num_subj_train,num_subj_rerep_train,num_obs_test,num_subj_test,num_subj_rerep_test,num_coeffs_glm,wmae_glm_train,wwmape_glm_train,wmae_glm_test,wwmape_glm_test,num_coeffs_lme,subj_intercept_mean,subj_intercept_var,rand_eff_var,rand_eff_ICC,x_joint_poly_stand_est,x_joint_poly_stand_t_val,y_joint_scale,y_joint_center,x_joint_poly_scale,x_joint_poly_center,wmae_lme_train,wwmape_lme_train,wmae_lme_test,wwmape_lme_test,x_joint_scaled_stand_est,x_joint_scaled_stand_t_val,x_joint_scaled_scale,x_joint_scaled_center,x_joint_exp_stand_est,x_joint_exp:x_joint_weight_exp_stand_est,x_joint_exp_stand_t_val,x_joint_exp:x_joint_weight_exp_stand_t_val,x_joint_exp_scale,x_joint_exp:x_joint_weight_exp_scale,x_joint_exp_center,x_joint_exp:x_joint_weight_exp_center,x_joint_poly:x_joint_height_exp_stand_est,x_joint_poly:x_joint_height_exp_stand_t_val,x_joint_poly:x_joint_height_exp_scale,x_joint_poly:x_joint_height_exp_center,x_joint_poly:x_joint_weight_exp_stand_est,x_joint_poly:x_joint_weight_exp_stand_t_val,x_joint_poly:x_joint_weight_exp_scale,x_joint_poly:x_joint_weight_exp_center,x_joint_exp:x_joint_height_exp_stand_est,x_joint_exp:x_joint_height_exp_stand_t_val,x_joint_exp:x_joint_height_exp_scale,x_joint_exp:x_joint_height_exp_center,x_joint_height_stand_est,x_joint_height_stand_t_val,x_joint_height_scale,x_joint_height_center,x_joint_scaled:x_joint_height_exp_stand_est,x_joint_scaled:x_joint_height_exp_stand_t_val,x_joint_scaled:x_joint_height_exp_scale,x_joint_scaled:x_joint_height_exp_center,x_joint_weight_stand_est,x_joint_weight_stand_t_val,x_joint_weight_scale,x_joint_weight_center,x_joint_scaled:x_joint_height_poly_stand_est,x_joint_scaled:x_joint_height_poly_stand_t_val,x_joint_scaled:x_joint_height_poly_scale,x_joint_scaled:x_joint_height_poly_center,x_joint_scaled:x_joint_weight_poly_stand_est,x_joint_scaled:x_joint_weight_poly_stand_t_val,x_joint_scaled:x_joint_weight_poly_scale,x_joint_scaled:x_joint_weight_poly_center,x_joint_scaled:x_joint_poly_stand_est,x_joint_scaled:x_joint_poly_stand_t_val,x_joint_scaled:x_joint_poly_scale,x_joint_scaled:x_joint_poly_center,x_joint_weight_exp:x_joint_weight_poly_stand_est,x_joint_weight_exp:x_joint_weight_poly_stand_t_val,x_joint_weight_exp:x_joint_weight_poly_scale,x_joint_weight_exp:x_joint_weight_poly_center,x_joint_weight_exp_stand_est,x_joint_weight_exp_stand_t_val,x_joint_weight_exp_scale,x_joint_weight_exp_center,x_joint_height:x_joint_weight_exp_stand_est,x_joint_height:x_joint_weight_exp_stand_t_val,x_joint_height:x_joint_weight_exp_scale,x_joint_height:x_joint_weight_exp_center,x_joint_weight_exp:x_joint_poly_stand_est,x_joint_weight_exp:x_joint_poly_stand_t_val,x_joint_weight_exp:x_joint_poly_scale,x_joint_weight_exp:x_joint_poly_center,x_joint_poly:x_joint_weight_poly_stand_est,x_joint_poly:x_joint_weight_poly_stand_t_val,x_joint_poly:x_joint_weight_poly_scale,x_joint_poly:x_joint_weight_poly_center
NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMC1_f - MCP1,1,574039,40,144,134585,30,36,5,9.004249923860208,0.8248498644184887,10.211030716674207,0.8300696063579475,2,0.10862945994288913,0.6105248573188953,0.6070948036585141,0.6158270061756708,-0.5842281519471701,-513.385741923298,12.319403799418044,-5.765876834873901,629.6316278239477,781.013084691979,5.90098513841459,0.5405699344771274,7.798431658932177,0.6339459038908425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP1 - IP1,3,345724,24,65,69559,15,16,9,8.46131147145848,0.6373527964522364,8.243788695256663,0.6260795615266724,2,-0.15010739306118526,0.6689798755678205,0.6636547252914856,0.6094922058863691,NA,NA,12.55029645416727,11.180066377583822,NA,NA,6.456299994159266,0.486324238256965,6.477563656442853,0.4919425234807752,1.0107621257631774,649.5737863401215,11.588589623745486,0.0272796692587657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP1 - IP1,11,506326,35,110,136742,27,27,4,15.095074105284349,0.5355172741652832,15.297421783552766,0.5403962936929255,2,-0.23217254225039133,0.5752439348327036,0.6127515681156571,0.5968525356514074,NA,NA,20.567291997780018,29.37623409028568,NA,NA,10.715490690075994,0.38014588902774193,11.76278223736274,0.4155317160321846,-0.829201056620882,-687.8278665370332,11.780811517991696,-7.679995470157264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMC1_f - IP1,5,493958,43,152,120204,35,38,6,17.578409949866483,0.5964442867503118,19.670445743626733,0.6570408647323275,4,-0.1278638356269015,1.055862893451638,1.0480521904315492,0.6554707512056206,NA,NA,21.82884315610824,29.05568937851754,NA,NA,13.030941006340289,0.44214637935845025,78.07885651220859,2.608024244530122,0.802868897189152,539.2630140807341,13.250369835680736,25.060261658161572,-0.5634958369825693,-4.146834174459242,-39.50344642928108,-42.4033971262589,32271865292169504e4,65953112172155145e46,5316903914467655e4,4765671617938017e45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMC1_f - IP1,10,565455,49,157,159670,35,39,5,15.164535663988286,0.5033375560716329,15.396338633415388,0.540791181686692,2,0.01366044847107115,0.7301181320439586,0.7154800543482469,0.5791577894848322,NA,NA,20.1821387501,28.811716476538308,NA,NA,11.61539094538865,0.3855352132642136,11.507229207154952,0.4041875298436772,0.8906832793474658,661.787259030451,13.227906978640087,22.908682216827263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,1,658080,40,144,174079,35,36,9,13.972406121919668,0.3199338755949372,14.896822411404548,0.33698329084293155,2,0.18076255287458823,0.460271015747045,0.48151003809646087,0.538526734476396,NA,NA,20.791134676260363,42.45967311121727,NA,NA,10.82380482227622,0.2478386181490575,12.15361743524673,0.274928832865728,0.8086178549240944,793.8270163293978,15.945256255197188,18.159599928753504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,2,743558,58,220,201012,50,54,10,12.492532804814484,0.1841049576612787,12.27044433616602,0.17866564175869162,2,0.10113212124713196,0.22659850317748467,0.23294121118409175,0.4950372640339936,0.7511938542394112,1258.0494844969687,28.112501771399145,63.076097940340034,1729.384777109151,1969.0520435840704,11.161133246259864,0.16448385574482208,11.19020712975859,0.1629366861930365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,3,624491,48,175,152863,40,43,8,11.866913315634012,0.16998007239707907,12.736420971727918,0.18682371820694643,2,0.08316785258169783,0.2922095383155507,0.2930604410120539,0.5605845582833437,NA,NA,22.656071630682675,68.14194212797547,NA,NA,8.342179380582365,0.11949225694542384,8.776975780722696,0.12874474341000602,0.8691611490787392,1238.8571904031464,18.42389001273916,44.70148993320756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,4,265641,40,105,69408,26,26,7,12.957512560319858,0.4946455258354848,14.619994451079574,0.5564060142109212,2,0.04990443089275796,0.28727209830304334,0.28264044629001855,0.49580529352203834,NA,NA,26.25961129362168,27.179911503331105,NA,NA,11.040914393325815,0.4214805025553768,13.66603568427251,0.5201003646474572,0.9424809066068768,791.4917418740108,17.13732626968644,17.425819462680806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
